# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
1500.00,1200.00,1.00,0.79,1200.00,1211.18,1511.18,1200.00,27.31,1.31e-01
1600.00,1200.00,1.00,0.79,1200.00,1210.78,1610.78,1200.00,27.31,1.34e-01
1700.00,1200.00,1.00,0.79,1200.00,1210.42,1710.42,1200.00,27.28,1.36e-01
1800.00,1200.00,1.00,0.79,1200.00,1210.07,1810.07,1200.00,27.26,1.38e-01
1900.00,1200.00,1.00,0.79,1200.00,1209.75,1909.75,1200.00,27.24,1.40e-01
2000.00,1200.00,1.00,0.79,1200.00,1209.44,2009.44,1200.00,27.23,1.41e-01
1300.00,1300.00,1.00,0.79,1300.00,1311.61,1311.61,1300.00,27.92,1.00e-01
1400.00,1300.00,1.00,0.79,1300.00,1311.18,1411.18,1300.00,27.41,1.40e-01
1500.00,1300.00,1.00,0.79,1300.00,1310.78,1510.78,1300.00,27.30,1.48e-01
1600.00,1300.00,1.00,0.79,1300.00,1310.42,1610.42,1300.00,27.23,1.52e-01
1700.00,1300.00,1.00,0.79,1300.00,1310.07,1710.07,1300.00,27.22,1.55e-01
1800.00,1300.00,1.00,0.79,1300.00,1309.75,1809.75,1300.00,27.19,1.57e-01
1900.00,1300.00,1.00,0.79,1300.00,1309.44,1909.44,1300.00,27.18,1.60e-01
